level,type,Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
5,country,Portugal,2363.322636,2186.582866,1637.534286,1440.670702,1250.510601,674.9228273,1312.517062,2340.007915,3026.885982,1156.734251,6559.806523,6195.650151,1630.034351,7983.640583,2560.654367,3011.208715,7471.43358,3020.354318,2104.474573,1449.63641,2149.904641,6466.608656,8547.269744,8756.775883,4996.205889,9245.7656,5874.255357,7159.441036,7673.867776,12758.54043,7814.327256,10463.00934,12204.0409,11512.89298,14058.92377
5,country,Romania,0.01,40,77,94,341,419,263,1215,2031,1027.032037,1056.753271,1157.931473,1140.652205,2196.303979,6435.591316,6152.300812,10858.11789,9732.809856,13491.53628,4665.448621,2997.172354,2362.92234,3198.547078,3602.364035,3215.681586,3840.47487,5000.387417,5419.471086,6218.911348,5790.964943,3432.026737,10605.6341,11148.62303,7296.397215,6201.284643
5,country,Slovakia,93,81,100,179.1378503,255.1740064,2587.149232,369.7432936,230.6031021,926.7614286,626.7974391,2720.378662,2274.839599,5864.878829,2975.667977,4028.991824,3109.637865,5803.086279,4017.245202,4868.023584,-6.07910336,1769.760743,3491.285944,2981.688154,-604.2477655,-512.8211151,106.1399146,805.9007804,4016.770767,1675.084894,2510.63725,-2403.547206,1820.633088,3459.624041,180.2606764,1843.3303
5,country,Slovenia,4.2999999,64.9,111,112.5999999,116.9298479,153.5604039,175.479362,334.428438,217.8277983,105.6862843,137.3576561,358.5319147,1569.674839,271.1803385,675.45647,561.6475153,706.2765557,757.2915726,1218.409932,-475.8343139,105.3698785,1087.41581,339.3306384,-151.2226653,1051.238646,1675.07736,1245.941686,897.7449994,1384.172995,1463.041658,219.9870703,1845.852247,2179.810114,1473.876562,1296.041737
5,country,Spain,10797.15159,9633.026352,10665.74069,8571.494817,8883.492432,7910.827709,9325.034251,8918.367254,14266.89455,18743.38475,39575.10319,28408.1288,39222.56929,25819.30265,24760.68367,25020.18355,30802.38001,64264.41411,76992.51327,10406.59838,39872.50959,28379.20637,25696.45275,25924.69619,24910.65854,13889.93676,19708.44126,5948.870889,57014.16674,18349.31197,14917.08795,43722.36822,53583.31297,46655.63773,30542.59706
5,country,Sweden,1971.176541,6353.203736,-41.03845751,3845.877075,6349.663101,14448.29188,5437.401953,10967.54505,19918.94207,61135.04139,23432.80682,10914.35507,12273.03497,5280.288884,12093.2549,11515.98602,27445.93908,28592.62854,36946.94361,10146.69799,97.12078496,12929.46528,16257.07378,4035.327151,7909.147489,4758.24082,19438.70525,15001.06447,5922.56467,8299.862904,20621.56655,24881.05089,52424.14886,24972.00561,18287.81763
4,region,Other Europe,37597.89012,17928.05014,18497.51849,19471.91749,17387.8248,30751.11592,38150.82866,50658.82373,82236.21739,113293.0604,145788.1748,52766.6038,33236.81181,48290.26401,84311.96069,209061.7569,254096.0871,293514.6182,215200.1202,179034.8673,144470.0283,134718.3491,139907.7365,117798.6638,67400.11606,117226.983,387100.236,249747.9197,12504.58867,21332.09118,9613.643166,-86634.36266,-11330.62975,73954.61865,-69687.65194
5,country,Albania,0,0,20,68,52.9699999,70.0499999,90.09,47.5399999,45.01079681,41.19987532,144.2703151,206.427683,133.0563267,177.1038131,345.6718382,264.3386559,324.4219028,658.506675,974.3333211,995.929668,1050.708236,876.2683236,855.440232,1265.90079,1111.434379,945.7228448,1100.671891,1148.891224,1289.689054,1287.966989,1108.147745,1233.917686,1434.125507,1622.313049,1715.5722
5,country,Belarus,0,0,7,17.6,10.5,14.6999999,104.5,351.6,190.8449687,444,118.8,95.7999999,247.0999999,171.8,163.7999999,306.5999999,357.1,1807.3,2187.9,1876.5,1393.4,4002.4,1429.3,2229.6,1827.6,1667.9,1237.8,1278.5,1421,1293.1,1398.4,1238.413862,1596.816543,1982.275328,1711.365429
5,country,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,66.73637671,176.7801503,146.0755773,118.8670699,265.1736865,381.053072,511.1861652,351.1858243,554.6900312,1819.244227,1001.647693,249.9485044,406.0890881,496.5250828,394.8732435,276.3619701,550.199095,361.1401255,349.7591302,491.8880169,581.3830514,457.5139829,479.6485788,715.5631052,816.1564399,1047.750396,1113.377769
