level,type,Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
5,country,Ukraine,0,0,0,0,8,10,-5,42,-4,7,1,23,-5,13,4,275,-133,673,1010,162,736,192,1206,420,111,-95,100,281,-127,842,22,-198,344,42,-162
5,country,United Kingdom,17948.176,16408.737,20106.21755,27305.30013,34224.175,48078.80467,36384.5993,60644.75571,122815.5886,203426.2212,232744.4166,57206.81489,53802.10215,64203.75136,103204.0719,88560.32204,81100.37591,335885.1636,198185.1807,28964.71362,48091.79531,95587.37529,20699.88484,40485.57046,-151285.9329,-66821.48041,-37605.82207,142373.0341,82961.10106,11717.47857,-95876.92308,84644.42656,95351.66929,67170.1434,25297.31664
3,region,North America,36218.544,38530.09,46238.078,82948.969,82545.506,103535.606,97522.216,118834.5342,165354.1004,226638.4137,187304.172,160901.8231,161718.7423,152276.2354,338251.7587,42907.45646,270433.724,458145.1297,387573.253,327502.0848,312501.7615,448716.9367,374060.3619,360794.1061,393284.6495,331799.3147,353975.6195,403969.4217,-99357.95299,112548.1182,268131.9045,347857.307,386971.6821,453761.7738,352410.8453
4,country,Canada,5236.544,5834.09,3591.078,5701.969,9293.506,11461.606,13096.216,23065.53423,34350.10044,17247.41373,44678.17199,36028.82306,26772.74233,22924.23539,43346.7587,27538.45646,46213.72404,64627.12969,79277.25296,39601.08477,34722.76151,52147.93675,55864.36186,57362.10612,60270.64947,67440.31467,69506.61954,76188.42165,58049.04701,77492.11821,43666.90452,105975.307,83995.68209,93347.77381,86043.8453
4,country,United States,30982,32696,42647,77247,73252,92074,84426,95769,131004,209391,142626,124873,134946,129352,294905,15369,224220,393518,308296,287901,277779,396569,318196,303432,333014,264359,284469,327781,-157407,35056,224465,241882,302976,360414,266367
3,region,Other developed economies,54726.55814,35470.71644,23918.67334,16122.07475,25581.31134,31389.52233,33753.64315,35411.29582,32531.38554,28627.39915,43222.47987,51163.70583,43632.03823,51870.9093,50066.79902,19968.81782,99325.42588,119238.4004,186584.5071,109305.6293,112969.8488,148714.9132,163122.5836,169946.0229,182143.2231,161423.6137,202976.8407,214267.2952,197456.1313,285067.5162,145210.7047,286672.2131,359141.9268,247462.5493,277503.0934
4,country,Australia,194.3702871,417.5235246,4591.488268,1409.667066,2187.534272,2532.931069,6174.3853,5804.598554,2547.382572,-14.83918836,2864.05037,10454.4232,6579.519277,15023.57466,7390.329105,-35783.17945,20007.22908,11897.21104,30395.57785,16409.4245,19803.51508,1716.414139,7891.894914,1441.342292,18185.25997,-9337.460277,2304.472908,7799.901898,7824.944785,8718.761883,5444.278896,2795.171962,119494.5563,11413.16949,14068.62273
4,country,Israel,261,355,256.218,744.6939999,673.916,574.154,436.7629999,750.0119999,1162.791,829.556,3335.365,687.5499999,980.98,2109.547,4545.128,2948.633,15462.697,8633.134,7213.517,1776.283,7998.886,7400.746,2275.709,3858.293,4525.503,10968.5,14578.51,7624.335,6086.597,8689.607,4578.849,10369.197,10955.247,7911.259,10477.644
4,country,Japan,50774.90469,31638.29645,17304.24553,13913.02002,18120.89073,22630.33226,23427.81051,25993.08792,24152.06677,22743.01579,31557.38319,38332.88927,32280.79322,28800.47269,30951.40628,45781.24626,50265.9464,73548.81703,128019.5387,74698.74137,56263.41224,107599.1459,122548.7307,135748.8233,130843.1812,136248.5192,155936.7476,164587.8519,144982.1225,232627.1713,99708.19546,208985.4337,162126.2552,196742.4968,204379.6138
4,country,New Zealand,2363.083164,1468.69646,391.0215438,-1388.806329,2008.870337,1783.605008,-1238.615665,-1565.702649,401.4452027,1073.766544,609.681303,-1077.456647,331.1457365,892.5149527,-46.3643715,-1339.181987,447.4534065,3223.388306,1096.483521,-1000.699615,715.5055014,2687.607145,-433.4510808,529.7643943,471.0609492,-58.57822285,195.6102553,227.3680022,377.0953006,-168.6568393,658.2112994,-1451.407554,746.2672372,-813.0515655,-45.391053
4,country,Republic of Korea,1133.2,1591.2,1375.7,1443.5,2590.1,3868.5,4953.3,4411.3,4220.3,3967.2,4842.1,2743.5,3437.2,5018.8,7195.6,8330,12563.1,21831,19536.5,17400.5,28221.6,29647.7,30598.7,28317.8,27998.5,23687.1,29889.5,34069.4,38220.4,35239,34832.4,66000.6,65799,32171.9,48588.8
4,country,Bermuda,0,0,0,0,0,0,0,18,47.3999999,28.6999999,13.9,22.8,22.3999999,26,30.6999999,31.3,579,104.85,322.89,21.38,-33.07,-336.7,241,50,119.718,-84.467,72,-41.5616017,-35.0283023,-38.36713,-11.23,-26.782,20.601097,36.7755047,33.8039611
2,region,Developing economies,11974.77583,9503.005703,20998.79586,32821.40075,43075.67629,48276.57635,55314.56332,59668.16076,37206.532,50348.03565,83948.42206,54936.19996,36365.15219,35703.42772,106932.6915,103260.0483,188900.9354,256769.163,256553.2246,230061.5821,336767.6961,356826.3264,326248.7458,392188.8254,427318.7641,387344.0582,386826.348,450710.2511,373484.4651,396116.6033,380053.1473,504286.4453,547939.3765,517427.9857,491478.3856
3,region,Africa,658.2757643,1336.071191,2385.002853,575.6480626,1912.415175,2975.567065,1817.364618,3556.959739,1618.926937,2603.132343,1548.069778,-2639.460539,367.8218495,1376.662017,2960.874432,2010.992092,8186.039521,10827.12772,9954.445953,6373.819648,10398.54368,5317.840599,10527.43488,11096.48421,10541.45032,9575.536023,8437.16572,11267.43418,7916.241095,5172.733485,2459.277213,5097.836212,3958.689391,196.2599298,2447.385244
